Company Entity,Website,Entity Type
Abhiloan,"https://abhiloans.com/, https://knabfinance.com/",Client
Affirm,https://www.affirm.com/,Client
Airbnb,https://www.airbnb.com,Client
Allen Digital,https://allen.in/,Client
American Express,https://www.americanexpress.com/,Client
Arise,"https://www.arise.com/, https://www.ariseworkfromhome.com/",Client
Arra Finance,https://www.arrafinance.com/,Client
Atlanta Watershed,https://atlantawatershed.org/,Client
Barclays Group,https://home.barclays/,Client
Bell Aliant,https://aliant.bell.ca/,Client
Bellco,https://www.bellco.org/,Client
Braviant,https://www.braviantholdings.com/,Client
Brightspeed,"https://www.brightspeed.com/, https://www.brightspeedplans.com/",Client
Business Stream,https://www.business-stream.co.uk/,Client
CAASCO,https://www.caasco.com/,Client
Capital One,"https://www.capitalone.com/,https://www.capitalone.ca/",Client
Castle Water,https://www.castlewater.co.uk/,Client
Concord Servicing,https://concordfinance.com/,Client
Dafabet,https://m.dafabet.com/in,Client
DMI,https://www.dmifinance.in/,Client
Eden Park,https://www.edenparkcanada.com/,Client
Elevate Rise,https://www.elevate.com/,Client
Enercare,https://www.enercare.ca/,Client
Exelon,https://www.exeloncorp.com/,Client
Exelon BGE,"https://www.bge.com/, https://bgesmartenergy.com/",Client
Exelon Comed,https://www.comed.com/,Client
Exelon Peco,https://www.peco.com/,Client
Exelon PHI,https://www.pepco.com/,Client
Exeter Finance Corp.,https://www.exeterfinance.com/,Client
Fairstone Financial,https://loan.fairstone.ca,Client
Flipkart,https://www.flipkart.com/,Client
FourLeaf,https://www.fourleaffcu.com/,Client
Global Lending Services,https://glsauto.com/,Client
Good Energy,https://www.goodenergy.co.uk/,Client
Grow Credit,https://marketing.growcredit.com/,Client
Happy Money,https://happymoney.com/,Client
HP,https://www.hp.com/us-en/home.html,Client
HSBC,https://www.hsbc.com.hk/,Client
Jeeves,https://www.tryjeeves.com/,Client
Jenius Bank,https://www.jeniusbank.com/,Client
Koalafi,https://koalafi.com/,Client
Langley Federal Credit Union,https://www.langleyfcu.org/,Client
London Hydro,https://www.londonhydro.com/,Client
Lumen,https://www.lumen.com/en-us/,Client
Manulife Bank,https://www.manulifeim.com/retail/ca/en,Client
MCAP,https://www.mcap.com/,Client
Multi-Health Systems,https://mhs.com/,Client
Municipal Credit Union,https://www.nymcu.org/,Client
Myntra,https://www.myntra.com/,Client
Natwest Group,https://www.natwestgroup.com/,Client
Neo Financial,https://www.neofinancial.com/,Client
New York Times,https://www.nytco.com/,Client
Octopus Energy,https://octopus.energy/,Client
OppFi (Opportunity Financial LLC.),https://www.oppfi.com/,Client
PC Financial,https://www.pcfinancial.ca/en/,Client
PESCU,https://www.psecu.com/,Client
Phonepe,https://www.phonepe.com/,Client
Possible Finance,https://www.possiblefinance.com/,Client
Progressive Leasing,https://progleasing.com/,Client
Prosper Financial,https://www.prosper.com/trusted/home-tv2,Client
Quality Loan Servicing,https://qualityloanservicing.com/,Client
Rifco,https://www.rifco.net/,Client
SECU,https://www.secumd.org/,Client
Service Experts,https://www.serviceexperts.com/,Client
SSENSE,https://www.ssense.com/en-in,Client
Stellantis,https://www.stellantis.com/en,Client
Suncoast,https://www.suncoast.com/,Client
Sunlight Financial,https://sunlightfinancial.com/,Client
Sunstrong Management,https://sunstrongmanagement.com/,Client
Thrive,https://www.partnerwiththrive.com/,Client
Thryv,https://www.thryv.com/,Client
TLCx,https://tlcx.com/,Client
Toyota,https://www.toyota.com/,Client
Upgrade,https://www.upgrade.com/,Client
Upstart,https://www.upstart.com/,Client
Utilita,https://utilita.co.uk/,Client
Vaultpay,https://vaultpay.ca/,Client
Virgin Media,"https://www.virginmedia.com/ , https://www.o2.co.uk/, https://www.virginmediao2business.co.uk/",Client
Vonage,https://www.vonage.com/,Client
Whirlpool,https://www.whirlpoolcorp.com/,Client
Wisetack,https://www.wisetack.com/,Client
World Vision,https://www.wvi.org/,Client
Zendable,httos://zable.com,Client
Abound,https://www.getabound.com,Prospect
Affinity Water,https://www.affinitywater.co.uk/,Prospect
Anglian Water,https://www.anglianwater.co.uk/,Prospect
Atom Bank,https://www.atombank.co.uk/,Prospect
British Gas,https://www.britishgas.co.uk/,Prospect
Clearpay,https://www.clearpay.co.uk/en-GB,Prospect
Curve,https://www.curve.com/,Prospect
E.ON Next,https://www.eonnext.com/,Prospect
Ecotricity,https://www.ecotricity.co.uk/,Prospect
EDF / EDF Energy,https://www.edfenergy.com/,Prospect
Engie UK,https://www.engie.co.uk/,Prospect
Klarna,https://www.klarna.com/uk/,Prospect
Lloyds Bank,https://www.lloydsbank.com/,Prospect
Metro Bank,https://www.metrobankonline.co.uk/,Prospect
Monzo,https://monzo.com/,Prospect
OakNorth,https://oaknorth.co.uk/,Prospect
OVO Energy,https://www.ovoenergy.com/,Prospect
Plum,https://withplum.com/,Prospect
Rapyd,https://www.rapyd.net/,Prospect
Santander,https://www.santander.co.uk/,Prospect
ScottishPower,https://www.scottishpower.co.uk/,Prospect
Severn Trent,https://www.severntrent.com/,Prospect
SmartestEnergy,https://www.smartestenergy.com/en_GB/,Prospect
So Energy,https://www.so.energy/,Prospect
Southern Water,https://www.southernwater.co.uk/,Prospect
SSE plc,https://www.sse.com/,Prospect
Starling Bank,https://www.starlingbank.com/,Prospect
Tandem,https://www.tandem.co.uk/,Prospect
United Utilities,https://www.unitedutilities.com/,Prospect
Utility Warehouse,https://uw.co.uk/,Prospect
Valda Energy,https://www.valdaenergy.com/,Prospect
Water Plus,https://www.water-plus.co.uk/,Prospect
Wave Utilities,https://www.wave-utilities.co.uk/,Prospect
Yu Energy,https://www.yuenergy.co.uk/,Prospect
Zilch,https://www.zilch.com/uk/,Prospect
